Name,Hash,Id,Tag,Tier,Type,Source,Equippable,Power,Power Limit,Masterwork Type,Masterwork Tier,Owner,Armor2.0,Locked,Equipped,Year,Season,Event,Mobility,Resilience,Recovery,Discipline,Intellect,Strength,Total,Custom,Mobility (Base),Resilience (Base),Recovery (Base),Discipline (Base),Intellect (Base),Strength (Base),Total (Base),Custom (Base),Seasonal Mod,Notes,Perks 0,Perks 1,Perks 2,Perks 3,Perks 4,Perks 5,Perks 6
Dreambane Vest,883769696,"""6917529185772129447""",archive,Legendary,Chest Armor,moon,Hunter,1053,1060,Arc Energy Capacity,10,Vault,true,false,false,3,8,,18,4,19,12,12,4,69,0,16,2,7,10,10,2,47,0,legacy,,Recovery Mod*,Machine Gun Reserves*,Machine Gun Reserves*,Amethyst Veil*,Upgrade Armor*,,
Holdfast Vest,2930001572,"""6917529199277509163""",junk,Legendary,Chest Armor,seasonpass,Hunter,1054,1360,Solar Energy Capacity,5,Vault,true,false,false,3,11,,2,12,18,10,6,16,64,0,2,12,18,10,6,16,64,0,legacy,,Supercharged*,Upgrade Armor*,,,,,
Wormhusk Crown,3562696927,"""6917529186240927583""",,Exotic,Helmet,,Hunter,1053,,Void Energy Capacity,10,Vault,true,true,false,1,3,,15,13,22,8,18,12,88,0,13,11,10,6,16,10,66,0,combatstyle,,Recovery Mod*,Enhanced Hand Cannon Targeting*,Midnight Smith*,Upgrade Armor*,Burning Souls*,,
Dreambane Robes,3692187003,"""6917529196950067920""",archive,Legendary,Chest Armor,moon,Warlock,1052,1060,Arc Energy Capacity,10,Vault,true,false,false,3,8,,13,10,10,4,26,4,67,12,11,8,8,2,24,2,55,12,legacy,,Sword Reserves*,Sword Reserves*,Powerful Friends*,Upgrade Armor*,Northlight Robes*,,
Holdfast Vest,2930001572,"""6917529199794822193""",junk,Legendary,Chest Armor,seasonpass,Hunter,1054,1360,Arc Energy Capacity,3,Vault,true,false,false,3,11,,12,2,15,6,13,10,58,0,12,2,15,6,13,10,58,0,legacy,,Upgrade Armor*,,,,,,
Iron Remembrance Gauntlets,713182381,"""6917529179343389488""",junk,Legendary,Gauntlets,ironbanner,Titan,1050,1310,Void Energy Capacity,1,Vault,true,false,false,3,10,,9,2,22,13,2,16,64,40,9,2,22,13,2,16,64,40,legacy,,Iron Precious*,Change Energy Type*,,,,,
Boots of the Great Hunt,3227674085,"""6917529194477461989""",junk,Legendary,Leg Armor,lastwish,Warlock,1059,1360,Void Energy Capacity,10,Vault,true,false,false,3,11,,9,22,18,17,14,4,84,23,7,20,6,15,12,2,62,23,legacy,,Recovery Mod*,Traction*,Grenade Launcher Scavenger*,Upgrade Armor*,,,
Wormgod Caress,1734844651,"""6917529195330810294""",,Exotic,Gauntlets,,Titan,1050,,Solar Energy Capacity,1,Vault,true,true,false,1,3,,7,13,13,22,8,2,65,28,7,13,13,22,8,2,65,28,combatstyle,,Change Energy Type*,Burning Fists*,,,,,
Bulletsmith's Ire Plate,3491990569,"""6917529196485307974""",junk,Legendary,Chest Armor,scourge,Titan,1050,1360,Void Energy Capacity,2,Vault,true,false,false,3,11,,2,6,22,2,11,15,58,43,2,6,22,2,11,15,58,43,legacy,,Midnight Smith*,Upgrade Armor*,,,,,
Holdfast Mask,3097544525,"""6917529198497244821""",junk,Legendary,Helmet,seasonpass,Hunter,1053,1360,Arc Energy Capacity,9,Vault,true,true,false,3,11,,6,8,16,25,6,2,63,0,6,8,16,25,6,2,63,0,legacy,,Upgrade Armor*,,,,,,
Iron Remembrance Helm,1882457108,"""6917529179338264418""",junk,Legendary,Helmet,ironbanner,Titan,1050,1310,Void Energy Capacity,2,Vault,true,true,false,3,10,,7,8,15,13,2,16,61,39,7,8,15,13,2,16,61,39,legacy,,Iron Precious*,Upgrade Armor*,,,,,
Seventh Seraph Hood,1790943181,"""6917529243911707335""",,Legendary,Helmet,seasonpass,Warlock,1242,1310,Arc Energy Capacity,1,Vault,true,false,false,3,10,,9,6,12,2,19,6,54,20,9,6,12,2,19,6,54,20,legacy,,Change Energy Type*,,,,,,
Iron Remembrance Strides,3600816955,"""6917529188466849008""",junk,Legendary,Leg Armor,ironbanner,Hunter,1050,1310,Void Energy Capacity,3,Vault,true,false,false,3,10,,2,10,20,14,9,6,61,0,2,10,20,14,9,6,61,0,legacy,,Iron Precious*,Upgrade Armor*,,,,,
Dreambane Robes,3692187003,"""6917529203035837196""",archive,Legendary,Chest Armor,moon,Warlock,1059,1060,Solar Energy Capacity,10,Vault,true,false,false,3,8,,4,10,19,16,8,8,65,37,2,8,17,14,6,6,53,37,legacy,,Linear Fusion Rifle Reserves*,High-Energy Fire*,Tangled Bronze*,Upgrade Armor*,Northlight Robes*,,
Dreambane Plate,2568538788,"""6917529198394677281""",archive,Legendary,Chest Armor,moon,Titan,1053,1060,Arc Energy Capacity,10,Vault,true,false,false,3,8,,4,15,27,12,13,10,81,36,2,13,15,10,11,8,59,36,legacy,,Recovery Mod*,Sword Reserves*,Sword Reserves*,Upgrade Armor*,Empyrean Cartographer Plate*,,
Dreambane Plate,2568538788,"""6917529199123953509""",archive,Legendary,Chest Armor,moon,Titan,1057,1060,Void Energy Capacity,10,Vault,true,true,false,3,8,,4,8,32,22,4,10,80,34,2,6,20,20,2,8,58,34,legacy,,Recovery Mod*,Unflinching Hand Cannon Aim*,Unflinching Shotgun Aim*,Amethyst Veil*,Upgrade Armor*,Intrepid Exploit Plate*,
Winter's Guile,3844826443,"""6917529183273001613""",,Exotic,Gauntlets,,Warlock,1050,,Arc Energy Capacity,1,Vault,true,true,false,1,1,,7,9,16,2,10,19,63,37,7,9,16,2,10,19,63,37,combatstyle,,Change Energy Type*,Warlord's Sigil*,,,,,
Insight Rover Mask,2298664693,"""6917529238555325085""",,Legendary,Helmet,legendaryengram,Hunter,1250,1360,Arc Energy Capacity,5,Vault,true,false,false,3,11,,2,19,12,6,12,12,63,0,2,19,12,6,12,12,63,0,legacy,,Upgrade Armor*,,,,,,
Iron Remembrance Vest,92135663,"""6917529188472077927""",junk,Legendary,Chest Armor,ironbanner,Hunter,1050,1310,Arc Energy Capacity,7,Vault,true,false,false,3,10,,6,11,12,7,14,8,58,0,6,11,12,7,14,8,58,0,legacy,,Boss Resist*,Sheltering Energy*,Iron Precious*,Upgrade Armor*,,,
Insight Rover Grips,974507844,"""6917529205844581368""",junk,Legendary,Gauntlets,legendaryengram,Hunter,1059,1360,Void Energy Capacity,1,Vault,true,false,false,3,11,,9,8,15,19,2,7,60,0,9,8,15,19,2,7,60,0,legacy,,Change Energy Type*,,,,,,
Dreambane Plate,2568538788,"""6917529195812837398""",archive,Legendary,Chest Armor,moon,Titan,1055,1060,Arc Energy Capacity,10,Vault,true,false,false,3,8,,8,10,25,19,9,4,75,23,6,8,13,17,7,2,53,23,legacy,,Recovery Mod*,Enhanced Unflinching Pulse Rifle Aim*,Enhanced Unflinching Pulse Rifle Aim*,Valkyrie Zero*,Upgrade Armor*,Empyrean Cartographer Plate*,
Holdfast Grips,3750210364,"""6917529200290849512""",junk,Legendary,Gauntlets,seasonpass,Hunter,1054,1360,Void Energy Capacity,2,Vault,true,true,false,3,11,,14,2,16,11,10,8,61,0,14,2,16,11,10,8,61,0,legacy,,Upgrade Armor*,,,,,,
Dreambane Gauntlets,925079356,"""6917529159834351678""",archive,Legendary,Gauntlets,moon,Titan,1056,1060,Solar Energy Capacity,10,Vault,true,false,false,3,8,,4,28,9,9,19,4,73,25,2,16,7,7,17,2,51,25,legacy,,Resilience Mod*,Enhanced Submachine Gun Loader*,Enhanced Submachine Gun Loader*,Valkyrie Zero*,Upgrade Armor*,Northlight Gauntlets*,
Dreambane Gauntlets,925079356,"""6917529205468608628""",archive,Legendary,Gauntlets,moon,Titan,1060,1060,Void Energy Capacity,10,Vault,true,false,false,3,8,,4,14,15,14,8,9,64,32,2,12,13,12,6,7,52,32,legacy,,Upgrade Armor*,,,,,,
Lucky Pants,193869522,"""6917529206803926945""",,Exotic,Leg Armor,,Hunter,1050,,Arc Energy Capacity,2,Vault,true,true,false,1,1,,11,3,19,12,14,2,61,0,11,3,19,12,14,2,61,0,combatstyle,,Upgrade Armor*,Illegally Modded Holster*,,,,,
Channeling Robes (CODA),1652467433,"""6917529203544474448""",junk,Legendary,Chest Armor,prophecy,Warlock,1050,1360,Arc Energy Capacity,2,Vault,true,false,false,3,11,,6,10,16,11,2,16,61,43,6,10,16,11,2,16,61,43,legacy,,Upgrade Armor*,,,,,,
Iron Remembrance Vestments,2614190248,"""6917529179388324791""",junk,Legendary,Chest Armor,ironbanner,Warlock,1200,1310,Void Energy Capacity,10,Vault,true,true,false,3,10,,10,16,11,30,4,4,75,39,8,14,9,28,2,2,63,39,legacy,,Shotgun Reserves*,Shotgun Reserves*,High-Energy Fire*,Amethyst Veil*,Upgrade Armor*,Blood Lineage Robes*,
Holdfast Strides,3136019014,"""6917529194007020178""",junk,Legendary,Leg Armor,seasonpass,Hunter,1050,1360,Void Energy Capacity,8,Vault,true,true,false,3,11,,11,2,17,10,7,14,61,0,11,2,17,10,7,14,61,0,legacy,,Grenade Launcher Scavenger*,Grenade Launcher Scavenger*,Global Reach*,Upgrade Armor*,,,
Iron Remembrance Casque,2845071512,"""6917529188472076315""",junk,Legendary,Helmet,ironbanner,Hunter,1050,1310,Arc Energy Capacity,2,Vault,true,false,false,3,10,,12,2,20,11,7,9,61,0,12,2,20,11,7,9,61,0,legacy,,Iron Precious*,Upgrade Armor*,,,,,
Holdfast Mask,3097544525,"""6917529199282737446""",junk,Legendary,Helmet,seasonpass,Hunter,1054,1360,Void Energy Capacity,9,Vault,true,true,false,3,11,,14,2,14,9,2,20,61,0,14,2,14,9,2,20,61,0,legacy,,Rocket Launcher Ammo Finder*,Grenade Launcher Ammo Finder*,Global Reach*,Upgrade Armor*,,,
Dreambane Gloves,682780965,"""6917529204750864939""",archive,Legendary,Gauntlets,moon,Warlock,1060,1060,Void Energy Capacity,10,Vault,true,false,false,3,8,,9,9,25,16,9,9,77,34,7,7,13,14,7,7,55,34,legacy,,Recovery Mod*,Enhanced Grenade Launcher Loader*,Upgrade Armor*,,,,
The Bombardiers,1219761634,"""6917529199000871529""",keep,Exotic,Leg Armor,,Hunter,1054,,Solar Energy Capacity,1,Vault,true,true,false,3,9,,14,2,14,12,2,16,60,0,14,2,14,12,2,16,60,0,combatstyle,,Change Energy Type*,Parting Gift*,,,,,
Solstice Plate (Magnificent),3654315694,"""6917529201942591577""",junk,Legendary,Chest Armor,,Titan,1053,1360,Arc Energy Capacity,1,Vault,true,false,false,3,11,Solstice of Heroes,7,10,16,2,15,13,63,39,7,10,16,2,15,13,63,39,legacy,,Change Energy Type*,,,,,,
Holdfast Boots,674876967,"""6917529194319905941""",junk,Legendary,Leg Armor,seasonpass,Warlock,1050,1360,Void Energy Capacity,7,Vault,true,false,false,3,11,,6,15,10,21,2,6,60,37,6,15,10,21,2,6,60,37,legacy,,Grenade Launcher Scavenger*,Traction*,Upgrade Armor*,Siegebreak Boots*,,,
Raiden Flux,2766109872,"""6917529203680428038""",,Exotic,Chest Armor,,Hunter,1059,,Solar Energy Capacity,4,Vault,true,true,false,1,1,,4,34,6,2,13,16,75,0,4,24,6,2,13,16,65,0,combatstyle,,Resilience Mod*,Upgrade Armor*,Nano Redux*,Synapse Junctions*,,,
Holdfast Grips,3750210364,"""6917529203441096286""",junk,Legendary,Gauntlets,seasonpass,Hunter,1058,1360,Arc Energy Capacity,2,Vault,true,false,false,3,11,,2,12,16,7,10,15,62,0,2,12,16,7,10,15,62,0,legacy,,Upgrade Armor*,,,,,,
Liar's Handshake,4165919945,"""6917529203677749801""",keep,Exotic,Gauntlets,,Hunter,1059,,Arc Energy Capacity,3,Vault,true,true,false,2,6,,4,15,14,15,14,2,64,0,4,15,14,15,14,2,64,0,combatstyle,,Upgrade Armor*,Cross Counter*,,,,,
Anti-Extinction Vest,3304105970,"""6917529164779874200""",junk,Legendary,Chest Armor,do,Hunter,1050,1310,Solar Energy Capacity,5,Vault,true,true,false,3,10,,14,8,9,12,2,19,64,0,14,8,9,12,2,19,64,0,legacy,,Upgrade Armor*,,,,,,
Holdfast Robes,119457531,"""6917529205210019519""",junk,Legendary,Chest Armor,seasonpass,Warlock,1050,1360,Void Energy Capacity,4,Vault,true,true,false,3,11,,7,2,20,7,10,15,61,42,7,2,20,7,10,15,61,42,legacy,,Upgrade Armor*,,,,,,
Fr0st-EE5,609852545,"""6917529238706022718""",,Exotic,Leg Armor,,Hunter,1252,,Arc Energy Capacity,1,Vault,true,false,false,1,3,,4,14,14,14,14,2,62,0,4,14,14,14,14,2,62,0,combatstyle,,Change Energy Type*,Rapid Cooldown*,,,,,
Wormhusk Crown,3562696927,"""6917529243292630203""",,Exotic,Helmet,,Hunter,1254,,Arc Energy Capacity,1,Vault,true,false,false,1,3,,23,6,3,10,9,12,63,0,23,6,3,10,9,12,63,0,combatstyle,,Change Energy Type*,Burning Souls*,,,,,
Wing Theorem,3684978064,"""6917529206029491848""",junk,Legendary,Helmet,crucible,Warlock,1060,1360,Void Energy Capacity,2,Vault,true,true,false,3,11,,2,2,23,2,18,6,53,31,2,2,23,2,18,6,53,31,legacy,,Crucible Legacy*,Upgrade Armor*,,,,,
Chromatic Fire,4057299718,"""6917529203698112254""",,Exotic,Chest Armor,,Warlock,1059,,Arc Energy Capacity,9,Vault,true,true,false,2,4,,2,19,14,15,15,2,67,31,2,19,14,15,15,2,67,31,combatstyle,,Upgrade Armor*,Crystalline Transistor*,,,,,
Phobos Warden Helm,1884301546,"""6917529212684296051""",junk,Legendary,Helmet,strikes,Titan,1086,1410,Solar Energy Capacity,2,Vault,true,true,false,4,12,,2,9,20,20,2,6,59,35,2,9,20,20,2,6,59,35,combatstyle,,Upgrade Armor*,,,,,,
Holdfast Gloves,327547301,"""6917529194325655223""",junk,Legendary,Gauntlets,seasonpass,Warlock,1050,1360,Arc Energy Capacity,10,Vault,true,true,false,3,11,,9,4,34,25,8,4,84,47,7,2,22,23,6,2,62,47,legacy,,Recovery Mod*,Fastball*,Reactive Pulse*,Upgrade Armor*,,,
Dreambane Boots,1030110631,"""6917529197568614208""",archive,Legendary,Leg Armor,moon,Warlock,1053,1060,Arc Energy Capacity,10,Vault,true,false,false,3,8,,13,9,20,18,10,4,74,26,11,7,8,16,8,2,52,26,legacy,,Recovery Mod*,Shotgun Scavenger*,Radiant Light*,Upgrade Armor*,Phenotype Plasticity Boots*,,
Lucky Pants,193869522,"""6917529215702783729""",,Exotic,Leg Armor,,Hunter,1122,,Solar Energy Capacity,1,Vault,true,true,false,1,1,,8,8,14,13,13,2,58,0,8,8,14,13,13,2,58,0,combatstyle,,Change Energy Type*,Illegally Modded Holster*,,,,,
Dreambane Strides,377813570,"""6917529201978436198""",archive,Legendary,Leg Armor,moon,Hunter,1057,1060,Solar Energy Capacity,10,Vault,true,false,false,3,8,,21,9,13,4,17,13,77,0,9,7,11,2,15,11,55,0,legacy,,Mobility Mod*,Fusion Rifle Scavenger*,Echoes of Io*,Upgrade Armor*,Northlight Strides*,,
Dreambane Strides,377813570,"""6917529204021610764""",archive,Legendary,Leg Armor,moon,Hunter,1060,1060,Void Energy Capacity,10,Vault,true,false,false,3,8,,4,20,18,9,14,8,73,0,2,18,6,7,12,6,51,0,legacy,,Recovery Mod*,Upgrade Armor*,,,,,
Holdfast Grips,3750210364,"""6917529205728436103""",junk,Legendary,Gauntlets,seasonpass,Hunter,1050,1360,Void Energy Capacity,2,Vault,true,false,false,3,11,,13,13,2,16,2,15,61,0,13,13,2,16,2,15,61,0,legacy,,Upgrade Armor*,,,,,,
Sovereign Grips,198912077,"""6917529193752628878""",junk,Legendary,Gauntlets,nm,Hunter,1050,1310,Void Energy Capacity,1,Vault,true,false,false,3,10,,9,6,15,2,2,26,60,0,9,6,15,2,2,26,60,0,legacy,,Change Energy Type*,,,,,,
Dreambane Boots,1030110631,"""6917529192173779349""",archive,Legendary,Leg Armor,moon,Warlock,1050,1060,Solar Energy Capacity,10,Vault,true,false,false,3,8,,8,14,20,10,9,14,75,28,6,12,8,8,7,12,53,28,legacy,,Recovery Mod*,Linear Fusion Rifle Scavenger*,Linear Fusion Rifle Scavenger*,Upgrade Armor*,Phenotype Plasticity Boots*,,
Devastation Complex,1865671934,"""6917529199123954108""",junk,Legendary,Chest Armor,legendaryengram,Titan,1051,1260,Solar Energy Capacity,1,Vault,true,false,false,3,9,,2,2,26,6,16,6,58,34,2,2,26,6,16,6,58,34,legacy,,Change Energy Type*,,,,,,
Dreambane Boots,1030110631,"""6917529206348397354""",archive,Legendary,Leg Armor,moon,Warlock,1060,1060,Solar Energy Capacity,10,Vault,true,false,false,3,8,,8,15,9,11,4,19,66,33,6,13,7,9,2,17,54,33,legacy,,Upgrade Armor*,,,,,,
Lucky Raspberry,903984858,"""6917529182381798930""",keep,Exotic,Chest Armor,,Hunter,1050,,Void Energy Capacity,1,Vault,true,true,false,1,1,,14,7,11,13,10,7,62,0,14,7,11,13,10,7,62,0,combatstyle,,Change Energy Type*,Probability Matrix*,,,,,
Holdfast Strides,3136019014,"""6917529204656550636""",junk,Legendary,Leg Armor,seasonpass,Hunter,1050,1360,Solar Energy Capacity,4,Vault,true,false,false,3,11,,6,2,20,9,2,20,59,0,6,2,20,9,2,20,59,0,legacy,,Upgrade Armor*,,,,,,
Holdfast Plate,1585947570,"""6917529206648853717""",junk,Legendary,Chest Armor,seasonpass,Titan,1059,1360,Solar Energy Capacity,6,Vault,true,false,false,3,11,,8,17,7,6,19,8,65,32,8,17,7,6,19,8,65,32,legacy,,Upgrade Armor*,,,,,,
Dreambane Plate,2568538788,"""6917529181164225823""",archive,Legendary,Chest Armor,moon,Titan,1055,1060,Solar Energy Capacity,10,Vault,true,false,false,3,8,,11,8,26,8,14,8,75,26,9,6,14,6,12,6,53,26,legacy,,Recovery Mod*,Linear Fusion Rifle Reserves*,Valkyrie Zero*,Upgrade Armor*,Empyrean Cartographer Plate*,,
Holdfast Vest,2930001572,"""6917529203824876956""",junk,Legendary,Chest Armor,seasonpass,Hunter,1050,1360,Void Energy Capacity,9,Vault,true,true,false,3,11,,20,2,10,10,2,18,62,0,20,2,10,10,2,18,62,0,legacy,,Upgrade Armor*,,,,,,
Holdfast Grips,3750210364,"""6917529195728457202""",junk,Legendary,Gauntlets,seasonpass,Hunter,1050,1360,Void Energy Capacity,6,Vault,true,true,false,3,11,,2,16,12,16,2,16,64,0,2,16,12,16,2,16,64,0,legacy,,Upgrade Armor*,,,,,,
Iron Will Boots,2653909130,"""6917529243029809646""",,Legendary,Leg Armor,ironbanner,Hunter,1250,1410,Solar Energy Capacity,5,Vault,true,false,false,4,12,,2,20,9,6,6,14,57,0,2,20,9,6,6,14,57,0,combatstyle,,Iron Mossbone*,Upgrade Armor*,,,,,
Dreambane Vest,883769696,"""6917529200012358475""",archive,Legendary,Chest Armor,moon,Hunter,1056,1060,Solar Energy Capacity,10,Vault,true,false,false,3,8,,14,15,18,4,24,4,79,0,12,13,6,2,22,2,57,0,legacy,,Recovery Mod*,Unflinching Auto Rifle Aim*,Unflinching Auto Rifle Aim*,Upgrade Armor*,Northlight Vest*,,
Holdfast Plate,1585947570,"""6917529206954203022""",junk,Legendary,Chest Armor,seasonpass,Titan,1059,1360,Solar Energy Capacity,4,Vault,true,false,false,3,11,,6,6,15,12,9,9,57,30,6,6,15,12,9,9,57,30,legacy,,Upgrade Armor*,,,,,,
Dreambane Robes,3692187003,"""6917529204021612027""",archive,Legendary,Chest Armor,moon,Warlock,1060,1060,Solar Energy Capacity,10,Vault,true,false,false,3,8,,8,8,14,9,15,8,62,25,6,6,12,7,13,6,50,25,legacy,,Upgrade Armor*,,,,,,
Dreambane Vest,883769696,"""6917529168312035344""",archive,Legendary,Chest Armor,moon,Hunter,1050,1060,Solar Energy Capacity,10,Vault,true,false,false,3,8,,4,9,28,4,20,10,75,0,2,7,16,2,18,8,53,0,legacy,,Recovery Mod*,Fusion Rifle Reserves*,Fusion Rifle Reserves*,Lunar Gloom*,Upgrade Armor*,,
Holdfast Robes,119457531,"""6917529206643483469""",junk,Legendary,Chest Armor,seasonpass,Warlock,1060,1360,Solar Energy Capacity,6,Vault,true,false,false,3,11,,7,7,18,6,19,8,65,32,7,7,18,6,19,8,65,32,legacy,,Upgrade Armor*,,,,,,
Holdfast Vest,2930001572,"""6917529197225551965""",junk,Legendary,Chest Armor,seasonpass,Hunter,1053,1360,Solar Energy Capacity,2,Vault,true,false,false,3,11,,13,10,7,20,7,2,59,0,13,10,7,20,7,2,59,0,legacy,,Upgrade Armor*,,,,,,
Solstice Vest (Magnificent),1167143060,"""6917529200789770552""",infuse,Legendary,Chest Armor,,Hunter,1054,1360,Arc Energy Capacity,8,Vault,true,false,false,3,11,Solstice of Heroes,6,12,24,10,9,12,73,0,6,12,14,10,9,12,63,0,legacy,,Recovery Mod*,Enhanced Unflinching Pulse Rifle Aim*,Valkyrie Zero*,Upgrade Armor*,,,
Holdfast Greaves,1131831128,"""6917529202799711692""",junk,Legendary,Leg Armor,seasonpass,Titan,1056,1360,Void Energy Capacity,3,Vault,true,false,false,3,11,,6,19,6,13,16,2,62,27,6,19,6,13,16,2,62,27,legacy,,Upgrade Armor*,,,,,,
Iron Remembrance Helm,1882457108,"""6917529188472081978""",junk,Legendary,Helmet,ironbanner,Titan,1056,1310,Arc Energy Capacity,10,Vault,true,false,false,3,10,,8,4,33,12,12,12,81,33,6,2,21,10,10,10,59,33,legacy,,Recovery Mod*,Powerful Friends*,New Age Black Armory*,Upgrade Armor*,Luxe Visor*,,
Holdfast Robes,119457531,"""6917529203883131923""",junk,Legendary,Chest Armor,seasonpass,Warlock,1059,1360,Void Energy Capacity,2,Vault,true,false,false,3,11,,6,7,17,2,2,27,61,46,6,7,17,2,2,27,61,46,legacy,,Upgrade Armor*,,,,,,
Orpheus Rig,193869523,"""6917529198779987017""",favorite,Exotic,Leg Armor,,Hunter,1050,,Void Energy Capacity,9,Vault,true,true,false,1,1,,4,15,14,7,24,2,66,0,4,15,14,7,24,2,66,0,combatstyle,,Special Ammo Scavenger*,Special Ammo Scavenger*,Upgrade Armor*,Calliope's Lullaby*,Uncanny Arrows*,,
Sovereign Greaves,1516941763,"""6917529193876805984""",junk,Legendary,Leg Armor,nm,Titan,1050,1310,Arc Energy Capacity,1,Vault,true,false,false,3,10,,20,2,6,2,2,25,57,33,20,2,6,2,2,25,57,33,legacy,,Change Energy Type*,,,,,,
Seventh Seraph Grips,2701297915,"""6917529243146540050""",,Legendary,Gauntlets,seasonpass,Hunter,1254,1310,Solar Energy Capacity,1,Vault,true,true,false,3,10,,6,2,22,7,21,2,60,0,6,2,22,7,21,2,60,0,legacy,,Change Energy Type*,,,,,,
Dreambane Gauntlets,925079356,"""6917529172326206284""",archive,Legendary,Gauntlets,moon,Titan,1050,1060,Arc Energy Capacity,10,Vault,true,false,false,3,8,,33,8,4,14,8,8,75,14,21,6,2,12,6,6,53,14,legacy,,Mobility Mod*,Valkyrie Zero*,Upgrade Armor*,Northlight Gauntlets*,,,
Dreambane Gauntlets,925079356,"""6917529203561639093""",archive,Legendary,Gauntlets,moon,Titan,1060,1060,Void Energy Capacity,10,Vault,true,false,false,3,8,,9,8,14,11,19,4,65,20,7,6,12,9,17,2,53,20,legacy,,Upgrade Armor*,,,,,,
The Bombardiers,1219761634,"""6917529203830356565""",,Exotic,Leg Armor,,Hunter,1059,,Arc Energy Capacity,9,Vault,true,true,false,3,9,,2,17,12,13,10,7,61,0,2,17,12,13,10,7,61,0,combatstyle,,Upgrade Armor*,Parting Gift*,,,,,
Anti-Extinction Vest,3304105970,"""6917529172709484993""",junk,Legendary,Chest Armor,do,Hunter,1050,1310,Void Energy Capacity,7,Vault,true,false,false,3,10,,9,8,26,13,2,15,73,0,9,8,16,13,2,15,63,0,legacy,,Recovery Mod*,Warmind's Protection*,Upgrade Armor*,,,,
Seventh Seraph Vest,4224643669,"""6917529190608253888""",junk,Legendary,Chest Armor,seasonpass,Hunter,1050,1310,Arc Energy Capacity,6,Vault,true,false,false,3,10,,11,9,10,20,8,2,60,0,11,9,10,20,8,2,60,0,legacy,,Upgrade Armor*,,,,,,
Holdfast Mask,3097544525,"""6917529199282736356""",junk,Legendary,Helmet,seasonpass,Hunter,1054,1360,Solar Energy Capacity,7,Vault,true,false,false,3,11,,9,7,12,26,2,2,58,0,9,7,12,26,2,2,58,0,legacy,,Linear Fusion Rifle Ammo Finder*,Fusion Rifle Ammo Finder*,Global Reach*,Upgrade Armor*,,,
Holdfast Strides,3136019014,"""6917529200104729846""",junk,Legendary,Leg Armor,seasonpass,Hunter,1054,1360,Solar Energy Capacity,6,Vault,true,false,false,3,11,,14,12,7,12,9,12,66,0,14,12,7,12,9,12,66,0,legacy,,Upgrade Armor*,,,,,,
Promethium Spur,235591051,"""6917529165162161605""",keep,Exotic,Leg Armor,,Warlock,1050,,Arc Energy Capacity,9,Vault,true,true,false,3,9,,12,2,28,2,21,6,71,36,2,2,28,2,21,6,61,36,combatstyle,,Mobility Mod*,Shotgun Scavenger*,Shotgun Scavenger*,Upgrade Armor*,Embers of Light*,,
Severance Enclosure,2326396534,"""6917529158572187540""",,Exotic,Chest Armor,,Titan,1050,,Solar Energy Capacity,1,Vault,true,true,false,3,9,,13,10,2,2,22,2,51,14,13,10,2,2,22,2,51,14,combatstyle,,Change Energy Type*,Spheromatik Trigger*,,,,,
Dreambane Strides,377813570,"""6917529161511290853""",archive,Legendary,Leg Armor,moon,Hunter,1050,1060,Arc Energy Capacity,10,Vault,true,false,false,3,8,,4,4,26,9,8,14,65,0,2,2,24,7,6,12,53,0,legacy,,Machine Gun Scavenger*,Machine Gun Scavenger*,Powerful Friends*,Midnight Smith*,Upgrade Armor*,Northlight Strides*,
Simulator Grips,79417130,"""6917529178565523401""",infuse,Legendary,Gauntlets,fwc,Hunter,1254,1310,Arc Energy Capacity,10,Vault,true,true,false,3,10,,19,4,26,14,14,8,85,0,7,2,24,12,12,6,63,0,legacy,,Mobility Mod*,Fastball*,Hand Cannon Loader*,Calus's Treasured*,Upgrade Armor*,Luxe Sleeves*,
Iron Remembrance Grips,3308875113,"""6917529188472072682""",junk,Legendary,Gauntlets,ironbanner,Hunter,1050,1310,Solar Energy Capacity,3,Vault,true,false,false,3,10,,11,10,12,2,9,22,66,0,11,10,12,2,9,22,66,0,legacy,,Iron Precious*,Upgrade Armor*,,,,,
Plate of the Great Hunt,3143067364,"""6917529190644044482""",junk,Legendary,Chest Armor,lastwish,Titan,1050,1360,Void Energy Capacity,10,Vault,true,false,false,3,11,,12,8,17,16,4,17,74,36,10,6,15,14,2,15,62,36,legacy,,Upgrade Armor*,,,,,,
Insight Rover Mask,2298664693,"""6917529240923368229""",,Legendary,Helmet,legendaryengram,Hunter,1253,1360,Void Energy Capacity,4,Vault,true,false,false,3,11,,13,2,16,7,2,21,61,0,13,2,16,7,2,21,61,0,legacy,,Upgrade Armor*,,,,,,
Karnstein Armlets,3844826440,"""6917529203687177955""",favorite,Exotic,Gauntlets,,Warlock,1059,,Solar Energy Capacity,10,Vault,true,true,false,1,1,,10,5,24,15,4,18,76,51,8,3,22,13,2,16,64,51,combatstyle,,Upgrade Armor*,Vampire's Caress*,,,,,
Holdfast Boots,674876967,"""6917529206348395137""",junk,Legendary,Leg Armor,seasonpass,Warlock,1059,1360,Solar Energy Capacity,5,Vault,true,false,false,3,11,,8,8,14,7,16,7,60,28,8,8,14,7,16,7,60,28,legacy,,Upgrade Armor*,,,,,,
